"game_id","opponent","play_index","quarter","possession","row_type","down","distance","goal_to_go","yard_side","yard_num","play_type","yards_gained","situation","play"
"20250913_6i95","UW-La Crosse",1,"1",,"kickoff",,,,,,"kickoff",,"","Noah Godhard kickoff 65 yards to the UWL00, touchback."
"20250913_6i95","UW-La Crosse",2,"1","Wis.-La Crosse","play",1,10,FALSE,"UWL",25,"rush",3,"1st and 10 at UWL25","Gabe Lynch rush for 3 yards to the UWL28 (Leighton Tarke; Lucas Hazard)."
"20250913_6i95","UW-La Crosse",3,"1","Wis.-La Crosse","play",2,7,FALSE,"UWL",28,"pass_complete",6,"2nd and 7 at UWL28","Kyle Haas pass complete to Keaton Arendt for 6 yards to the UWL34 (Tai Mann; Jack Lawson)."
"20250913_6i95","UW-La Crosse",4,"1","Wis.-La Crosse","play",3,1,FALSE,"UWL",34,"rush",5,"3rd and 1 at UWL34","Gabe Lynch rush for 5 yards to the UWL39 (Jacob Franze; Amani Tchamwa)."
"20250913_6i95","UW-La Crosse",5,"1","Wis.-La Crosse","play",1,10,FALSE,"UWL",39,"pass_complete",6,"1st and 10 at UWL39","Kyle Haas pass complete to Najeh Mitchell for 6 yards to the UWL45 (Tai Mann)."
"20250913_6i95","UW-La Crosse",6,"1","Wis.-La Crosse","play",2,4,FALSE,"UWL",45,"pass_complete",3,"2nd and 4 at UWL45","Kyle Haas pass complete to Nolan Wulf for 3 yards to the UWL48, out-of-bounds."
"20250913_6i95","UW-La Crosse",7,"1","Wis.-La Crosse","play",3,1,FALSE,"UWL",48,"rush",3,"3rd and 1 at UWL48","Gabe Lynch rush for 3 yards to the CMU49 (Leighton Tarke; Connor Warren)."
"20250913_6i95","UW-La Crosse",8,"1","Wis.-La Crosse","play",1,10,FALSE,"CMU",49,"rush",25,"1st and 10 at CMU49","Braedon Ott rush for 25 yards to the CMU24 (Jack Lawson)."
"20250913_6i95","UW-La Crosse",9,"1","Wis.-La Crosse","play",1,10,FALSE,"CMU",24,"rush",12,"1st and 10 at CMU24","Kyle Haas rush for 12 yards to the CMU12 (DJ Johnson; Tai Mann)."
"20250913_6i95","UW-La Crosse",10,"1","Wis.-La Crosse","play",1,10,FALSE,"CMU",12,"rush",-3,"1st and 10 at CMU12","Gabe Lynch rush for loss of 3 yards to the CMU15 (Leighton Tarke; Mitchell Stokey)."
"20250913_6i95","UW-La Crosse",11,"1","Wis.-La Crosse","play",2,13,FALSE,"CMU",15,"pass_complete",9,"2nd and 13 at CMU15","Kyle Haas pass complete to Jack Janke for 9 yards to the CMU06 (Jack Lawson)."
"20250913_6i95","UW-La Crosse",12,"1","Wis.-La Crosse","play",3,4,FALSE,"CMU",6,"pass_complete",6,"3rd and 4 at CMU06","Kyle Haas pass complete to Gabe Lynch for 6 yards to the CMU00, TOUCHDOWN, clock 09:37."
