"game_id","opponent","play_index","quarter","possession","row_type","down","distance","Goal_To_Go","yard_side","yard_num","play_type","yards_gained","situation","play"
"20250920_l58t","Berry",1,"1",,"kickoff",,,,,,"kickoff",,"","Noah Godhard kickoff 65 yards to the BERRY00, touchback."
"20250920_l58t","Berry",2,"1","Berry","play",1,10,FALSE,"BERRY",25,"rush",2,"1st and 10 at BERRY25","Josh Rogers rush for 2 yards to the BERRY27 (Leighton Tarke; Victor Ruhland)."
"20250920_l58t","Berry",3,"1","Berry","play",2,8,FALSE,"BERRY",27,"pass_complete",5,"2nd and 8 at BERRY27","Andrew Hunter pass complete to Bryce Herring for 5 yards to the BERRY32 (Victor Ruhland)."
"20250920_l58t","Berry",4,"1","Berry","play",3,3,FALSE,"BERRY",32,"pass_complete",23,"3rd and 3 at BERRY32","Andrew Hunter pass complete to Colby Sikes for 23 yards to the CMU45 (Jacob Franze)."
"20250920_l58t","Berry",5,"1","Berry","play",1,10,FALSE,"CMU",45,"rush",9,"1st and 10 at CMU45","Josh Rogers rush for 9 yards to the CMU36 (Jacob Franze)."
"20250920_l58t","Berry",6,"1","Berry","play",2,1,FALSE,"CMU",36,"pass_complete",1,"2nd and 1 at CMU36","Andrew Hunter pass complete to Colby Sikes for 1 yard to the CMU35 (Connor Warren)."
"20250920_l58t","Berry",7,"1","Berry","play",1,10,FALSE,"CMU",35,"pass_complete",1,"1st and 10 at CMU35","Andrew Hunter pass complete to Nate Lyons for 1 yard to the CMU34 (Jack Lawson)."
"20250920_l58t","Berry",8,"1","Berry","play",2,9,FALSE,"CMU",34,"rush",-2,"2nd and 9 at CMU34","Josh Rogers rush for loss of 2 yards to the CMU36 (Archie Lawler; Connor Warren)."
"20250920_l58t","Berry",9,"1","Berry","play",3,11,FALSE,"CMU",36,"rush",1,"3rd and 11 at CMU36","Josh Rogers rush for 1 yard to the CMU35 (Amani Tchamwa; Ty Kadur)."
"20250920_l58t","Berry",10,"1","Berry","penalty_no_play",4,10,FALSE,"CMU",35,"penalty_no_play",,"4th and 10 at CMU35","PENALTY BERRY delay of game (Andrew Hunter) 5 yards to the CMU40."
"20250920_l58t","Berry",11,"1","Berry","play",4,15,FALSE,"CMU",40,"punt_no_return",,"4th and 15 at CMU40","Miles Hamby punt 35 yards to the CMU05, downed."
"20250920_l58t","Berry",12,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",5,"rush",3,"1st and 10 at CMU05","Joey McGinnis I rush for 3 yards to the CMU08 (Carver Cole; Cade Petty)."
"20250920_l58t","Berry",13,"1","Carnegie Mellon","play",2,7,FALSE,"CMU",8,"rush",2,"2nd and 7 at CMU08","Willem Bouma rush for 2 yards to the CMU10 (Dawson Livingst; Michael Clark)."
"20250920_l58t","Berry",14,"1","Carnegie Mellon","play",3,5,FALSE,"CMU",10,"rush",73,"3rd and 5 at CMU10","Joey McGinnis I rush for 73 yards to the BERRY17 (Cade Petty)."
"20250920_l58t","Berry",15,"1","Carnegie Mellon","play",1,10,FALSE,"BERRY",17,"pass_incomplete",0,"1st and 10 at BERRY17","Joey McGinnis I pass incomplete to Brendan McCullo."
"20250920_l58t","Berry",16,"1","Carnegie Mellon","play",2,10,FALSE,"BERRY",17,"pass_incomplete",0,"2nd and 10 at BERRY17","Joey McGinnis I pass incomplete to Brendan McCullo, QB hurry by Christopher Lew."
"20250920_l58t","Berry",17,"1","Carnegie Mellon","play",3,10,FALSE,"BERRY",17,"rush",1,"3rd and 10 at BERRY17","Joey McGinnis I rush for 1 yard to the BERRY16 (Cade Petty)."
"20250920_l58t","Berry",18,"1","Carnegie Mellon","play",4,9,FALSE,"BERRY",16,"field_goal_good",,"4th and 9 at BERRY16","Justin Caputo field goal attempt from 33 GOOD, clock 06:18."
"20250920_l58t","Berry",19,"1","Carnegie Mellon","kickoff",,,,,,"kickoff",,"","Noah Godhard kickoff 65 yards to the BERRY00, touchback."
"20250920_l58t","Berry",20,"1","Berry","play",1,10,FALSE,"BERRY",25,"pass_incomplete",0,"1st and 10 at BERRY25","Andrew Hunter pass incomplete to Cameron Coleman."
"20250920_l58t","Berry",21,"1","Berry","play",2,10,FALSE,"BERRY",25,"rush",1,"2nd and 10 at BERRY25","Colby Sikes rush for 1 yard to the BERRY26 (Leighton Tarke; Connor Warren)."
"20250920_l58t","Berry",22,"1","Berry","play",3,9,FALSE,"BERRY",26,"rush",10,"3rd and 9 at BERRY26","Andrew Hunter rush for 10 yards to the BERRY36 (Avery Campbell; Amani Tchamwa)."
"20250920_l58t","Berry",23,"1","Berry","play",1,10,FALSE,"BERRY",36,"pass_complete",6,"1st and 10 at BERRY36","Andrew Hunter pass complete to Hunter Coleman for 6 yards to the BERRY42 (Connor Warren)."
"20250920_l58t","Berry",24,"1","Berry","play",2,4,FALSE,"BERRY",42,"rush",-2,"2nd and 4 at BERRY42","Andrew Hunter rush for loss of 2 yards to the BERRY40 (Lucas Hazard; Amani Tchamwa)."
"20250920_l58t","Berry",25,"1","Berry","play",3,6,FALSE,"BERRY",40,"pass_complete",13,"3rd and 6 at BERRY40","Andrew Hunter pass complete to Nate Lyons for 13 yards to the CMU47 (Jacob Franze), out-of-bounds."
"20250920_l58t","Berry",26,"1","Berry","play",1,10,FALSE,"CMU",47,"rush",20,"1st and 10 at CMU47","Colby Sikes rush for 20 yards to the CMU27 (Ethan Ming; Jacob Franze)."
"20250920_l58t","Berry",27,"1","Berry","play",1,10,FALSE,"CMU",27,"rush",1,"1st and 10 at CMU27","Brayden Hardy rush for 1 yard to the CMU26 (Jack Lawson)."
"20250920_l58t","Berry",28,"1","Berry","play",2,9,FALSE,"CMU",26,"rush",4,"2nd and 9 at CMU26","Cameron Coleman rush for 4 yards to the CMU22 (Jack Lawson)."
"20250920_l58t","Berry",29,"1","Berry","penalty_no_play",3,5,FALSE,"CMU",22,"penalty_no_play",,"3rd and 5 at CMU22","PENALTY CMU offside defense (Mitchell Stokey) 5 yards to the CMU17."
"20250920_l58t","Berry",30,"1","Berry","play",1,10,FALSE,"CMU",17,"pass_incomplete",0,"1st and 10 at CMU17","Andrew Hunter pass incomplete, QB hurry by Leighton Tarke."
"20250920_l58t","Berry",31,"1","Berry","play",2,10,FALSE,"CMU",17,"rush",5,"2nd and 10 at CMU17","Andrew Hunter rush for 5 yards to the CMU12 (Bennett Grace; Ethan Ming)."
"20250920_l58t","Berry",32,"2","Berry","play",3,5,FALSE,"CMU",12,"rush",2,"3rd and 5 at CMU12","Colby Sikes rush for 2 yards to the CMU10 (Leighton Tarke; Mitchell Stokey)."
"20250920_l58t","Berry",33,"2","Berry","play",4,3,FALSE,"CMU",10,"field_goal_good",,"4th and 3 at CMU10","Trey Richards field goal attempt from 27 GOOD, clock 14:16."
"20250920_l58t","Berry",34,"2","Berry","kickoff",,,,,,"kickoff",,"","Trey Richards kickoff 65 yards to the CMU00, Nick McCullough return 22 yards to the CMU22 (Zion Gervais)."
"20250920_l58t","Berry",35,"2","Carnegie Mellon","play",1,10,FALSE,"CMU",22,"rush",2,"1st and 10 at CMU22","Willem Bouma rush for 2 yards to the CMU24 (Christopher Lew)."
"20250920_l58t","Berry",36,"2","Carnegie Mellon","play",2,8,FALSE,"CMU",24,"rush",-3,"2nd and 8 at CMU24","Willem Bouma rush for loss of 3 yards to the CMU21 (Dawson Livingst)."
"20250920_l58t","Berry",37,"2","Carnegie Mellon","penalty_no_play",3,11,FALSE,"CMU",21,"penalty_no_play",,"3rd and 11 at CMU21","PENALTY CMU false start 5 yards to the CMU16."
"20250920_l58t","Berry",38,"2","Carnegie Mellon","play",3,16,FALSE,"CMU",16,"rush",10,"3rd and 16 at CMU16","Shadrak Agyei rush for 10 yards to the CMU26 (Brooks Thompson)."
"20250920_l58t","Berry",39,"2","Carnegie Mellon","play",4,6,FALSE,"CMU",26,"punt_no_return",,"4th and 6 at CMU26","John Norell punt 34 yards to the BERRY40, downed."
"20250920_l58t","Berry",40,"2","Berry","play",1,10,FALSE,"BERRY",40,"pass_incomplete",0,"1st and 10 at BERRY40","Andrew Hunter pass incomplete to Bryce Herring (Ethan Ming)."
"20250920_l58t","Berry",41,"2","Berry","play",2,10,FALSE,"BERRY",40,"rush",2,"2nd and 10 at BERRY40","Brayden Hardy rush for 2 yards to the BERRY42 (Ty Kadur; Logan Armstrong)."
"20250920_l58t","Berry",42,"2","Berry","play",3,8,FALSE,"BERRY",42,"pass_incomplete",0,"3rd and 8 at BERRY42","Andrew Hunter pass incomplete to Bryce Herring, dropped pass."
"20250920_l58t","Berry",43,"2","Berry","play",4,8,FALSE,"BERRY",42,"punt_no_return",,"4th and 8 at BERRY42","Miles Hamby punt 37 yards to the CMU21, out-of-bounds, PENALTY BERRY holding 10 yards to the BERRY32, NO PLAY."
"20250920_l58t","Berry",44,"2","Berry","play",4,18,FALSE,"BERRY",32,"punt_no_return",,"4th and 18 at BERRY32","Miles Hamby punt 27 yards to the CMU41, downed."
"20250920_l58t","Berry",45,"2","Carnegie Mellon","play",1,10,FALSE,"CMU",41,"pass_complete",0,"1st and 10 at CMU41","Joey McGinnis I pass complete to Nick McCullough for no gain to the CMU41 (David Attaochu)."
"20250920_l58t","Berry",46,"2","Carnegie Mellon","play",2,10,FALSE,"CMU",41,"pass_incomplete",0,"2nd and 10 at CMU41","Joey McGinnis I pass incomplete to Luca Cuttita."
"20250920_l58t","Berry",47,"2","Carnegie Mellon","play",3,10,FALSE,"CMU",41,"pass_incomplete",0,"3rd and 10 at CMU41","Joey McGinnis I pass incomplete to Nick McCullough (Brooks Thompson)."
"20250920_l58t","Berry",48,"2","Carnegie Mellon","play",4,10,FALSE,"CMU",41,"punt_no_return",,"4th and 10 at CMU41","John Norell punt 43 yards to the BERRY16, downed."
"20250920_l58t","Berry",49,"2","Berry","play",1,10,FALSE,"BERRY",16,"sack",-7,"1st and 10 at BERRY16","Andrew Hunter sacked for loss of 7 yards to the BERRY09 (Amani Tchamwa)."
"20250920_l58t","Berry",50,"2","Berry","play",2,17,FALSE,"BERRY",9,"rush",7,"2nd and 17 at BERRY09","Andrew Hunter rush for 7 yards to the BERRY16 (Connor Warren)."
"20250920_l58t","Berry",51,"2","Berry","play",3,10,FALSE,"BERRY",16,"pass_complete",1,"3rd and 10 at BERRY16","Andrew Hunter pass complete to Nate Lyons for 1 yard to the BERRY17 (Tai Mann)."
"20250920_l58t","Berry",52,"2","Berry","play",4,9,FALSE,"BERRY",17,"punt_no_return",,"4th and 9 at BERRY17","Miles Hamby punt 33 yards to the 50 yardline, fair catch by Brendan McCullo."
"20250920_l58t","Berry",53,"2","Carnegie Mellon","play",1,10,FALSE,"CMU",50,"rush",3,"1st and 10 at CMU50","Willem Bouma rush for 3 yards to the BERRY47 (Will Johnson)."
"20250920_l58t","Berry",54,"2","Carnegie Mellon","play",2,7,FALSE,"BERRY",47,"rush",8,"2nd and 7 at BERRY47","Joey McGinnis I rush for 8 yards to the BERRY39 (Dawson Livingst)."
"20250920_l58t","Berry",55,"2","Carnegie Mellon","play",1,10,FALSE,"BERRY",39,"rush",1,"1st and 10 at BERRY39","Willem Bouma rush for 1 yard to the BERRY38 (Will Johnson; Michael Clark)."
"20250920_l58t","Berry",56,"2","Carnegie Mellon","play",2,9,FALSE,"BERRY",38,"pass_complete",38,"2nd and 9 at BERRY38","Joey McGinnis I pass complete to Reece Kolke for 38 yards to the BERRY00, TOUCHDOWN, clock 05:12."
"20250920_l58t","Berry",57,"2","Carnegie Mellon","extra_point",,,,,,"extra_point",,"","Justin Caputo kick attempt good."
"20250920_l58t","Berry",58,"2","Carnegie Mellon","kickoff",,,,,,"kickoff",,"","Noah Godhard kickoff 65 yards to the BERRY00, touchback."
"20250920_l58t","Berry",59,"2","Berry","play",1,10,FALSE,"BERRY",25,"pass_complete",11,"1st and 10 at BERRY25","Andrew Hunter pass complete to Walker Williams for 11 yards to the BERRY36 (Tai Mann; Connor Warren), out-of-bounds."
"20250920_l58t","Berry",60,"2","Berry","play",1,10,FALSE,"BERRY",36,"rush",11,"1st and 10 at BERRY36","Colby Sikes rush for 11 yards to the BERRY47 (Jack Lawson; Jacob Franze)."
"20250920_l58t","Berry",61,"2","Berry","play",1,10,FALSE,"BERRY",47,"pass_incomplete",0,"1st and 10 at BERRY47","Andrew Hunter pass incomplete to Nate Lyons."
"20250920_l58t","Berry",62,"2","Berry","play",2,10,FALSE,"BERRY",47,"rush",5,"2nd and 10 at BERRY47","Colby Sikes rush for 5 yards to the CMU48 (Victor Ruhland)."
"20250920_l58t","Berry",63,"2","Berry","play",3,5,FALSE,"CMU",48,"pass_incomplete",0,"3rd and 5 at CMU48","Andrew Hunter pass incomplete to Nate Lyons."
"20250920_l58t","Berry",64,"2","Berry","play",4,5,FALSE,"CMU",48,"punt_no_return",,"4th and 5 at CMU48","Miles Hamby punt 31 yards to the CMU17, fair catch by Brendan McCullo."
"20250920_l58t","Berry",65,"2","Carnegie Mellon","play",1,10,FALSE,"CMU",17,"rush",8,"1st and 10 at CMU17","Joey McGinnis I rush for 8 yards to the CMU25 (David Attaochu; Gian Traverzo)."
"20250920_l58t","Berry",66,"2","Carnegie Mellon","play",2,2,FALSE,"CMU",25,"rush",8,"2nd and 2 at CMU25","Willem Bouma rush for 8 yards to the CMU33 (Jack Murray; Brycen Williams)."
"20250920_l58t","Berry",67,"2","Carnegie Mellon","play",1,10,FALSE,"CMU",33,"pass_complete",29,"1st and 10 at CMU33","Joey McGinnis I pass complete to Brendan McCullo for 29 yards to the BERRY38 (Steven Pickett)."
"20250920_l58t","Berry",68,"2","Carnegie Mellon","play",1,10,FALSE,"BERRY",38,"pass_complete",1,"1st and 10 at BERRY38","Joey McGinnis I pass complete to Brendan McCullo for 1 yard to the BERRY37 (Gian Traverzo)."
"20250920_l58t","Berry",69,"2","Carnegie Mellon","play",2,9,FALSE,"BERRY",37,"pass_complete",6,"2nd and 9 at BERRY37","Joey McGinnis I pass complete to Brendan McCullo for 6 yards to the BERRY31 (Cade Petty; Jack Murray)."
"20250920_l58t","Berry",70,"2","Carnegie Mellon","play",3,3,FALSE,"BERRY",31,"pass_incomplete",0,"3rd and 3 at BERRY31","Joey McGinnis I pass incomplete to Brendan McCullo (Gian Traverzo)."
