"game_id","opponent","play_index","quarter","possession","row_type","down","distance","goal_to_go","yard_side","yard_num","play_type","yards_gained","situation","play"
"20251011_t8bp","Johns Hopkins",1,"1",,"kickoff",,,,,,"kickoff",,"","Wayt,Kaleb kickoff 60 yards to the CMU05 Johnson,DJ return 19 yards to the CMU24 (Hogg,Carter)."
"20251011_t8bp","Johns Hopkins",2,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",24,"pass_complete",39,"1st and 10 at CMU24","No Huddle-Shotgun McGinnis IV,Joey pass complete deep right to McCullough,Brendan caught at JHU45, for 39 yards to the JHU37 (Hallal,David; Schondelmayer,Jack), 1ST DOWN."
"20251011_t8bp","Johns Hopkins",3,"1","Carnegie Mellon","play",1,10,FALSE,"JHU",37,"rush",2,"1st and 10 at JHU37","No Huddle-Shotgun Valente,Giacomo rush right for 2 yards gain to the JHU35 (Seibert,Will)."
"20251011_t8bp","Johns Hopkins",4,"1","Carnegie Mellon","play",2,8,FALSE,"JHU",35,"rush",4,"2nd and 8 at JHU35","No Huddle-Shotgun McGinnis IV,Joey rush middle for 4 yards gain to the JHU31 (Bourdo,Carson)."
"20251011_t8bp","Johns Hopkins",5,"1","Carnegie Mellon","play",3,4,FALSE,"JHU",31,"pass_incomplete",0,"3rd and 4 at JHU31","No Huddle-Shotgun McGinnis IV,Joey pass incomplete deep left to Kolke,Reece thrown to JHU11."
"20251011_t8bp","Johns Hopkins",6,"1","Carnegie Mellon","play",4,4,FALSE,"JHU",31,"pass_complete",7,"4th and 4 at JHU31","No Huddle-Shotgun McGinnis IV,Joey pass complete short right to Kolke,Reece caught at JHU24, for 7 yards to the JHU24 (Olah,Kevin), 1ST DOWN."
"20251011_t8bp","Johns Hopkins",7,"1","Carnegie Mellon","play",1,10,FALSE,"JHU",24,"pass_complete",1,"1st and 10 at JHU24","No Huddle-Shotgun McGinnis IV,Joey pass complete short left to Moynihan,Danny caught at JHU25, for 1 yard to the JHU23 (Trainer,Browning)."
"20251011_t8bp","Johns Hopkins",8,"1","Carnegie Mellon","play",2,9,FALSE,"JHU",23,"rush",5,"2nd and 9 at JHU23","No Huddle-Shotgun McGinnis IV,Joey rush left for 5 yards gain to the JHU18 (Olson,Sawyer), out of bounds."
"20251011_t8bp","Johns Hopkins",9,"1","Carnegie Mellon","play",3,4,FALSE,"JHU",18,"rush",5,"3rd and 4 at JHU18","No Huddle-Shotgun Valente,Giacomo rush right for 5 yards gain to the JHU13 (Hallal,David; Urquidi,Isaac), 1ST DOWN."
"20251011_t8bp","Johns Hopkins",10,"1","Carnegie Mellon","play",1,10,FALSE,"JHU",13,"pass_complete",12,"1st and 10 at JHU13","No Huddle-Shotgun McGinnis IV,Joey pass complete short left to McCullough,Brendan caught at JHU03, for 12 yards to the JHU01 (Hallal,David; Schondelmayer,Jack), 1ST DOWN."
"20251011_t8bp","Johns Hopkins",11,"1","Carnegie Mellon","play",1,1,FALSE,"JHU",1,"pass_complete",1,"1st and 1 at JHU1","No Huddle-Shotgun Wamhoff,Mark pass complete short right to McCullough,Brendan caught at JHU02, for 1 yard to the JHU00 TOUCHDOWN, clock 10:44."
"20251011_t8bp","Johns Hopkins",12,"1","Carnegie Mellon","penalty_no_play",1,10,FALSE,"JHU",3,"penalty_no_play",,"1st and 10 at JHU3","PENALTY CMU Delay Of Game (Salters,Jackson) 5 yards from JHU03 to JHU08. NO PLAY."
"20251011_t8bp","Johns Hopkins",13,"1","Carnegie Mellon","extra_point",,,,,,"extra_point",,"","Caputo,Justin kick attempt good (H: Salters,Jackson, LS: Orlando,Joey)."
"20251011_t8bp","Johns Hopkins",14,"1","Carnegie Mellon","kickoff",,,,,,"kickoff",,"","Godhard,Noah kickoff 65 yards to the JHU00 Moore,Josh return 16 yards to the JHU16 (Bishop,Lucas)."
"20251011_t8bp","Johns Hopkins",15,"1","Johns Hopkins","play",1,10,FALSE,"JHU",16,"rush",1,"1st and 10 at JHU16","No Huddle-Shotgun Schroeder,Geoff rush left for 1 yard gain to the JHU17 (Tarke,Leighton)."
"20251011_t8bp","Johns Hopkins",16,"1","Johns Hopkins","play",2,9,FALSE,"JHU",17,"pass_complete",8,"2nd and 9 at JHU17","No Huddle-Shotgun Harvey,Bay pass complete short middle to Crotty,Cole caught at JHU20, for 8 yards to the JHU25 (Lawson,Jack)."
"20251011_t8bp","Johns Hopkins",17,"1","Johns Hopkins","play",3,1,FALSE,"JHU",25,"rush",20,"3rd and 1 at JHU25","No Huddle-Shotgun Schroeder,Geoff rush right for 20 yards gain to the JHU45 (Ming,Ethan), out of bounds, 1ST DOWN."
"20251011_t8bp","Johns Hopkins",18,"1","Johns Hopkins","play",1,10,FALSE,"JHU",45,"rush",5,"1st and 10 at JHU45","No Huddle-Shotgun Schroeder,Geoff rush right for 5 yards gain to the JHU50 (Franze,Jacob; Tarke,Leighton)."
"20251011_t8bp","Johns Hopkins",19,"1","Johns Hopkins","play",2,5,FALSE,"JHU",50,"rush",-4,"2nd and 5 at JHU50","No Huddle-Shotgun Harvey,Bay rush right for 4 yards loss to the JHU46 (Tchamwa,Amani)."
"20251011_t8bp","Johns Hopkins",20,"1","Johns Hopkins","play",3,9,FALSE,"JHU",46,"pass_incomplete",0,"3rd and 9 at JHU46","No Huddle-Shotgun Harvey,Bay pass incomplete short left to Crotty,Cole thrown to JHU49."
"20251011_t8bp","Johns Hopkins",21,"1","Johns Hopkins","play",4,9,FALSE,"JHU",46,"punt_blocked",,"4th and 9 at JHU46","Alley,Chase punt 0 yards to the JHU46 blocked by Bishop,Lucas recovered by CMU Cho,Sam at JHU34, End Of Play."
"20251011_t8bp","Johns Hopkins",22,"1","Carnegie Mellon","play",1,10,FALSE,"JHU",34,"pass_complete",12,"1st and 10 at JHU34","No Huddle-Shotgun McGinnis IV,Joey pass complete short left to McCullough,Brendan caught at JHU26, for 12 yards to the JHU22 (Olah,Kevin), 1ST DOWN."
"20251011_t8bp","Johns Hopkins",23,"1","Carnegie Mellon","play",1,10,FALSE,"JHU",22,"pass_incomplete",0,"1st and 10 at JHU22","No Huddle-Shotgun McGinnis IV,Joey pass incomplete short right to McCullough,Nick thrown to JHU16."
"20251011_t8bp","Johns Hopkins",24,"1","Carnegie Mellon","play",2,10,FALSE,"JHU",22,"rush",0,"2nd and 10 at JHU22","No Huddle-Shotgun McGinnis IV,Joey rush middle for 0 yards to the JHU22 (Hodge,Graham)."
"20251011_t8bp","Johns Hopkins",25,"1","Carnegie Mellon","play",3,10,FALSE,"JHU",22,"pass_incomplete",0,"3rd and 10 at JHU22","No Huddle-Shotgun McGinnis IV,Joey pass incomplete short left to Kolke,Reece thrown to JHU20."
"20251011_t8bp","Johns Hopkins",26,"1","Carnegie Mellon","play",4,10,FALSE,"JHU",22,"field_goal_good",,"4th and 10 at JHU22","Caputo,Justin field goal attempt from 39 yards GOOD (H: Salters,Jackson, LS: Orlando,Joey), clock 05:58."
"20251011_t8bp","Johns Hopkins",27,"1","Carnegie Mellon","kickoff",,,,,,"kickoff",,"","Godhard,Noah kickoff 62 yards to the JHU03 Moore,Josh return 33 yards to the JHU36 (Loureiro,Eric)."
