"game_id","opponent","play_index","quarter","possession","row_type","down","distance","Goal_To_Go","yard_side","yard_num","play_type","yards_gained","situation","play"
"20251025_3c40","Muhlenberg",1,"1",,"kickoff",,,,,,"kickoff",,"","Nicholas D'Amic kickoff 65 yards to the CMU00, DJ Johnson return 23 yards to the CMU23 (Isaac Schaffer-; John Roeder)."
"20251025_3c40","Muhlenberg",2,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",23,"rush",6,"1st and 10 at CMU23","Giacomo Valente rush for 6 yards to the CMU29 (Jake Saus)."
"20251025_3c40","Muhlenberg",3,"1","Carnegie Mellon","play",2,4,FALSE,"CMU",29,"rush",0,"2nd and 4 at CMU29","Joey McGinnis I rush for no gain to the CMU29 (Vincent Rispoli)."
"20251025_3c40","Muhlenberg",4,"1","Carnegie Mellon","play",3,4,FALSE,"CMU",29,"pass_complete",2,"3rd and 4 at CMU29","Joey McGinnis I pass complete to Giacomo Valente for 2 yards to the CMU31 (Thomas Cerruti), out-of-bounds."
"20251025_3c40","Muhlenberg",5,"1","Carnegie Mellon","play",4,2,FALSE,"CMU",31,"punt_with_return",,"4th and 2 at CMU31","John Norell punt 34 yards to the MUHL35, Tommy Donnelly return 9 yards to the MUHL44 (Bennett Grace)."
"20251025_3c40","Muhlenberg",6,"1","Muhlenberg","play",1,10,FALSE,"MUHL",44,"rush",-2,"1st and 10 at MUHL44","Dante Mahaffey rush for loss of 2 yards to the MUHL42 (Mitchell Stokey)."
"20251025_3c40","Muhlenberg",7,"1","Muhlenberg","penalty_no_play",2,12,FALSE,"MUHL",42,"penalty_no_play",,"2nd and 12 at MUHL42","PENALTY MUHL false start (Robert Terreros) 5 yards to the MUHL37."
"20251025_3c40","Muhlenberg",8,"1","Muhlenberg","play",2,17,FALSE,"MUHL",37,"pass_complete",4,"2nd and 17 at MUHL37","Dante Mahaffey pass complete to Aidan Mack for 4 yards to the MUHL41 (Ethan Ming), out-of-bounds."
"20251025_3c40","Muhlenberg",9,"1","Muhlenberg","play",3,13,FALSE,"MUHL",41,"sack",-8,"3rd and 13 at MUHL41","Dante Mahaffey sacked for loss of 8 yards to the MUHL33 (Mitchell Stokey)."
"20251025_3c40","Muhlenberg",10,"1","Muhlenberg","play",4,21,FALSE,"MUHL",33,"punt_no_return",,"4th and 21 at MUHL33","Sam Morris punt 44 yards to the CMU23, downed."
"20251025_3c40","Muhlenberg",11,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",23,"rush",2,"1st and 10 at CMU23","Joey McGinnis I rush for 2 yards to the CMU25 (Thomas Cerruti; Alex Schafer)."
"20251025_3c40","Muhlenberg",12,"1","Carnegie Mellon","play",2,8,FALSE,"CMU",25,"rush",0,"2nd and 8 at CMU25","Joey McGinnis I rush for no gain to the CMU25 (Vincent Rispoli; Alex Schafer)."
"20251025_3c40","Muhlenberg",13,"1","Carnegie Mellon","penalty_no_play",3,8,FALSE,"CMU",25,"penalty_no_play",,"3rd and 8 at CMU25","PENALTY CMU false start (Sam Alligood) 5 yards to the CMU20."
"20251025_3c40","Muhlenberg",14,"1","Carnegie Mellon","play",3,13,FALSE,"CMU",20,"pass_complete",26,"3rd and 13 at CMU20","Joey McGinnis I pass complete to Reece Kolke for 26 yards to the CMU46 (Jeffrey Lopez), out-of-bounds."
"20251025_3c40","Muhlenberg",15,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",46,"rush",17,"1st and 10 at CMU46","Joey McGinnis I rush for 17 yards to the MUHL37 (George Europe), out-of-bounds."
"20251025_3c40","Muhlenberg",16,"1","Carnegie Mellon","play",1,10,FALSE,"MUHL",37,"pass_complete",12,"1st and 10 at MUHL37","Joey McGinnis I pass complete to Reece Kolke for 12 yards to the MUHL25 (Marcus McClaine)."
"20251025_3c40","Muhlenberg",17,"1","Carnegie Mellon","play",1,10,FALSE,"MUHL",25,"pass_incomplete",0,"1st and 10 at MUHL25","Joey McGinnis I pass incomplete to Brendan McCullo (Marcus McClaine), PENALTY CMU ineligible man down field (Conor Gaul) 5 yards to the MUHL30, NO PLAY."
"20251025_3c40","Muhlenberg",18,"1","Carnegie Mellon","play",1,15,FALSE,"MUHL",30,"pass_complete",-1,"1st and 15 at MUHL30","Joey McGinnis I pass complete to Nick McCullough for loss of 1 yard to the MUHL31 (Marcus McClaine)."
"20251025_3c40","Muhlenberg",19,"1","Carnegie Mellon","play",2,16,FALSE,"MUHL",31,"pass_incomplete",0,"2nd and 16 at MUHL31","Joey McGinnis I pass incomplete to Nick McCullough (George Europe), PENALTY CMU holding (Charlie Katarin) 10 yards to the MUHL41, NO PLAY."
"20251025_3c40","Muhlenberg",20,"1","Carnegie Mellon","play",2,26,FALSE,"MUHL",41,"rush",12,"2nd and 26 at MUHL41","Joey McGinnis I rush for 12 yards to the MUHL29 (Leo Dauberman)."
"20251025_3c40","Muhlenberg",21,"1","Carnegie Mellon","play",3,14,FALSE,"MUHL",29,"pass_complete",12,"3rd and 14 at MUHL29","Joey McGinnis I pass complete to Reece Kolke for 12 yards to the MUHL17 (Aaron Sylvester), out-of-bounds."
"20251025_3c40","Muhlenberg",22,"1","Carnegie Mellon","play",4,2,FALSE,"MUHL",17,"rush",5,"4th and 2 at MUHL17","Joey McGinnis I rush for 5 yards to the MUHL12 (Aaron Sylvester), out-of-bounds."
"20251025_3c40","Muhlenberg",23,"1","Carnegie Mellon","play",1,10,FALSE,"MUHL",12,"pass_complete",2,"1st and 10 at MUHL12","Joey McGinnis I pass complete to Brendan McCullo for 2 yards to the MUHL10 (Marcus McClaine; Blaze Curry)."
"20251025_3c40","Muhlenberg",24,"1","Carnegie Mellon","play",2,8,FALSE,"MUHL",10,"rush",10,"2nd and 8 at MUHL10","Nick McCullough rush for 10 yards to the MUHL00, TOUCHDOWN, clock 03:12."
"20251025_3c40","Muhlenberg",25,"1","Carnegie Mellon","extra_point",,,,,,"extra_point",,"","Justin Caputo kick attempt failed."
"20251025_3c40","Muhlenberg",26,"1","Carnegie Mellon","kickoff",,,,,,"kickoff",,"","Noah Godhard kickoff 65 yards to the MUHL00, touchback."
