"game_id","opponent","play_index","quarter","possession","row_type","down","distance","Goal_To_Go","yard_side","yard_num","play_type","yards_gained","situation","play"
"20251108_3ubg","Franklin and Marshall",1,"1",,"kickoff",,,,,,"kickoff",,"","Noah Godhard kickoff 65 yards to the F&M00, touchback."
"20251108_3ubg","Franklin and Marshall",2,"1","Franklin & Marshall","play",1,10,FALSE,"F&M",25,"rush",1,"1st and 10 at F&M25","Louis Paris rush for 1 yard to the F&M26 (Lucas Hazard; Leighton Tarke)."
"20251108_3ubg","Franklin and Marshall",3,"1","Franklin & Marshall","play",2,9,FALSE,"F&M",26,"pass_complete",18,"2nd and 9 at F&M26","Ty Tremba pass complete to Jack Harrison for 18 yards to the F&M44 (Jack Lawson; Barrett Schmitz)."
"20251108_3ubg","Franklin and Marshall",4,"1","Franklin & Marshall","play",1,10,FALSE,"F&M",44,"pass_incomplete",0,"1st and 10 at F&M44","Ty Tremba pass incomplete to Matt Eitner, QB hurry by Gabe Bonnet."
"20251108_3ubg","Franklin and Marshall",5,"1","Franklin & Marshall","play",2,10,FALSE,"F&M",44,"pass_complete",8,"2nd and 10 at F&M44","Ty Tremba pass complete to Gary Lewis for 8 yards to the CMU48 (Connor Warren), out-of-bounds."
"20251108_3ubg","Franklin and Marshall",6,"1","Franklin & Marshall","play",3,2,FALSE,"CMU",48,"rush",1,"3rd and 2 at CMU48","Ty Tremba rush for 1 yard to the CMU47 (Jacob Franze; Bennett Grace)."
"20251108_3ubg","Franklin and Marshall",7,"1","Franklin & Marshall","play",4,1,FALSE,"CMU",47,"punt_with_return",,"4th and 1 at CMU47","Ivan Harlamov punt 36 yards to the CMU11, Cooper Rummel return 0 yards to the CMU11 (Matt Wertz)."
"20251108_3ubg","Franklin and Marshall",8,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",11,"rush",3,"1st and 10 at CMU11","Willem Bouma rush for 3 yards to the CMU14 (Chris Albero)."
"20251108_3ubg","Franklin and Marshall",9,"1","Carnegie Mellon","play",2,7,FALSE,"CMU",14,"pass_complete",6,"2nd and 7 at CMU14","Joey McGinnis I pass complete to Brendan McCullo for 6 yards to the CMU20 (Trey Comella)."
"20251108_3ubg","Franklin and Marshall",10,"1","Carnegie Mellon","play",3,1,FALSE,"CMU",20,"pass_complete",18,"3rd and 1 at CMU20","Joey McGinnis I pass complete to Brendan McCullo for 18 yards to the CMU38 (Matt Wertz)."
"20251108_3ubg","Franklin and Marshall",11,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",38,"sack",-1,"1st and 10 at CMU38","Joey McGinnis I sacked for loss of 1 yard to the CMU37 (Kyle Checchio; Owen Banghart)."
"20251108_3ubg","Franklin and Marshall",12,"1","Carnegie Mellon","play",2,11,FALSE,"CMU",37,"pass_incomplete",0,"2nd and 11 at CMU37","Joey McGinnis I pass incomplete to Reece Kolke, dropped pass."
"20251108_3ubg","Franklin and Marshall",13,"1","Carnegie Mellon","play",3,11,FALSE,"CMU",37,"pass_incomplete",0,"3rd and 11 at CMU37","Joey McGinnis I pass incomplete to Brendan McCullo."
"20251108_3ubg","Franklin and Marshall",14,"1","Carnegie Mellon","play",4,11,FALSE,"CMU",37,"rush",-17,"4th and 11 at CMU37","TEAM rush for loss of 17 yards to the CMU20, fumble by TEAM recovered by F&M Michael Pembrok at CMU00, TOUCHDOWN, clock 09:55."
"20251108_3ubg","Franklin and Marshall",15,"1","Franklin & Marshall","extra_point",,,,,,"extra_point",,"","Michael Fleming kick attempt failed (blocked), returned by TEAM (blocked by Mitchell Stokey)."
"20251108_3ubg","Franklin and Marshall",16,"1","Franklin & Marshall","kickoff",,,,,,"kickoff",,"","Ivan Harlamov kickoff 65 yards to the CMU00, Nick McCullough return 0 yards to the CMU00, fumble by Nick McCullough recovered by CMU Nick McCullough at CMU00, Nick McCullough return 12 yards to the CMU12 (Dean Coscia; Michael Pembrok), PENALTY CMU illegal block 6 yards to the CMU06."
"20251108_3ubg","Franklin and Marshall",17,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",6,"rush",3,"1st and 10 at CMU06","Willem Bouma rush for 3 yards to the CMU09 (Lt Kelley)."
