"game_id","opponent","play_index","quarter","possession","row_type","down","distance","Goal_To_Go","yard_side","yard_num","play_type","yards_gained","situation","play"
"20251122_xsab","Misericordia",1,"1",,"kickoff",,,,,,"kickoff",,"","Derek Infante kickoff 38 yards to the CMU27, Ty Kadur return 8 yards to the CMU35 (Logan Tierney; Malcolm Roy)."
"20251122_xsab","Misericordia",2,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",35,"pass_complete",14,"1st and 10 at CMU35","Jackson Salters pass complete to Brendan McCullo for 14 yards to the CMU49 (Keith Henry; Owen Norman)."
"20251122_xsab","Misericordia",3,"1","Carnegie Mellon","play",1,10,FALSE,"CMU",49,"rush",2,"1st and 10 at CMU49","Giacomo Valente rush for 2 yards to the MIS49 (Owen Norman; Gavin Morris)."
"20251122_xsab","Misericordia",4,"1","Carnegie Mellon","play",2,8,FALSE,"MIS",49,"pass_complete",8,"2nd and 8 at MIS49","Jackson Salters pass complete to Danny Moynihan for 8 yards to the MIS41 (Aaron Green)."
"20251122_xsab","Misericordia",5,"1","Carnegie Mellon","play",1,10,FALSE,"MIS",41,"rush",3,"1st and 10 at MIS41","Giacomo Valente rush for 3 yards to the MIS38 (Owen Norman)."
"20251122_xsab","Misericordia",6,"1","Carnegie Mellon","play",2,7,FALSE,"MIS",38,"pass_complete",3,"2nd and 7 at MIS38","Jackson Salters pass complete to Nick McCullough for 3 yards to the MIS35 (R.j. Tocco; Antoniomcdonal)."
"20251122_xsab","Misericordia",7,"1","Carnegie Mellon","play",3,4,FALSE,"MIS",35,"pass_complete",6,"3rd and 4 at MIS35","Jackson Salters pass complete to Brendan McCullo for 6 yards to the MIS29 (Aaron Green; Josh Orozco), out-of-bounds."
"20251122_xsab","Misericordia",8,"1","Carnegie Mellon","play",1,10,FALSE,"MIS",29,"rush",0,"1st and 10 at MIS29","Willem Bouma rush for no gain to the MIS29 (Owen Norman)."
"20251122_xsab","Misericordia",9,"1","Carnegie Mellon","play",2,10,FALSE,"MIS",29,"pass_complete",22,"2nd and 10 at MIS29","Jackson Salters pass complete to Brendan McCullo for 22 yards to the MIS07 (Aaron Green)."
"20251122_xsab","Misericordia",10,"1","Carnegie Mellon","play",1,7,TRUE,"MIS",7,"rush",3,"1st and Goal at MIS07","Willem Bouma rush for 3 yards to the MIS04 (Owen Norman; Nathan Malarkey)."
"20251122_xsab","Misericordia",11,"1","Carnegie Mellon","play",2,4,TRUE,"MIS",4,"rush",4,"2nd and Goal at MIS04","Willem Bouma rush for 4 yards to the MIS00, TOUCHDOWN, clock 10:28."
"20251122_xsab","Misericordia",12,"1","Carnegie Mellon","extra_point",,,,,,"extra_point",,"","Justin Caputo kick attempt good."
"20251122_xsab","Misericordia",13,"1","Carnegie Mellon","kickoff",,,,,,"kickoff",,"","Noah Godhard kickoff 60 yards to the MIS05, Jordan Alston return 11 yards to the MIS16 (Paul Davis)."
"20251122_xsab","Misericordia",14,"1","Misericordia","play",1,10,FALSE,"MIS",16,"rush",2,"1st and 10 at MIS16","Angelo Fluri rush for 2 yards to the MIS18 (Lucas Hazard; Mitchell Stokey)."
