"play_type","count","example_1","example_2","example_3"
"rush",690,"Shotgun Giggetts,Morrison rush right for 2 yards loss to the UCHI23 (Grace,Bennett).","Shotgun Bouma,Willem rush left for 5 yards gain to the CMU47 (Gideons,Battle).","Shotgun Bouma,Willem rush left for 5 yards gain to the UCHI48 (Meyer,Zach), 1ST DOWN."
"pass_complete",451,"Shotgun Ruff,Jack pass complete short middle to Degner,Luke caught at UCHI18, for 12 yards to the UCHI30 (Johnson,DJ; Lawson,Jack).","Shotgun McGinnis IV,Joey pass complete short left to McCullough,Nick caught at UCHI45, for 11 yards to the UCHI32 (Tulupov,Ivan; Meyer,Zach), 1ST DOWN.","Shotgun McGinnis IV,Joey pass complete short right to McCullough,Nick caught at UCHI25, for 10 yards to the UCHI22 (Rochester,EJ), 1ST DOWN, PENALTY UCHI Face Mask (Rochester,EJ) 11 yard from UCHI22 to UCHI11, 1ST DOWN."
"pass_incomplete",294,"Shotgun Ruff,Jack pass incomplete deep middle to Degner,Luke thrown to CMU40 broken up by Johnson,DJ.","Shotgun McGinnis IV,Joey pass incomplete short left to Cuttita,Luca thrown to UCHI01 broken up by Rochester,EJ.","Shotgun McGinnis IV,Joey pass incomplete short right to Moynihan,Danny thrown to CMU40 broken up by Marshall,Maceo."
"punt_no_return",68,"Tan,Tad punt 38 yards to the CMU36 PENALTY CMU Running Into The Kicker declined.","Norell,John punt 57 yards to the UCHI05.","Tan,Tad punt 61 yards to the CMU36."
"sack",42,"Shotgun Ruff,Jack sacked for loss of 9 yards to the UCHI43 (Franze,Jacob).","No Huddle-Shotgun McGinnis IV,Joey sacked for loss of 1 yard to the UCHI21 (Nittoli,Anthony).","Kyle Haas sacked for loss of 10 yards to the UWL20 (Jack Lawson; Bennett Grace)."
"punt_with_return",23,"Tan,Tad punt 32 yards to the CMU38 McCullough,Brendan return 4 yards to the CMU42 (Giggetts,Morrison; Lindsey,Jake).","Tan,Tad punt 35 yards to the CMU39 McCullough,Brendan return 7 yards to the CMU46 (Lindsey,Jake), out of bounds.","Tan,Tad punt 37 yards to the CMU16 McCullough,Brendan return 11 yards to the CMU27 (Rolls,Hugh) PENALTY CMU Holding declined CMU Running Into The Kicker (Strigger,Josiah) 5 yards from UCHI47 to CMU48, 1ST DOWN. NO PLAY."
"pass_intercepted",19,"Shotgun Ruff,Jack pass intercepted by Lawson,Jack at CMU27 Lawson,Jack return 0 yards to the CMU27, End Of Play.","Joey McGinnis I pass intercepted by Sam Baumgard at the CMU41, Sam Baumgard return 41 yards to the CMU00, TOUCHDOWN, clock 06:32.","Joey McGinnis I pass intercepted by Trent Mullen at the UWL06, Trent Mullen return 0 yards to the UWL06."
"field_goal_good",17,"Caputo,Justin field goal attempt from 35 yards GOOD (H: Salters,Jackson, LS: Orlando,Joey), clock 14:51.","Caputo,Justin field goal attempt from 38 yards GOOD (H: Salters,Jackson, LS: Orlando,Joey), clock 04:10.","Maddox Pratt field goal attempt from 34 GOOD, clock 07:26."
"field_goal_blocked",5,"Caputo,Justin field goal attempt from 44 yards NO GOOD blocked by Heiberger,Michael (H: Salters,Jackson, LS: Orlando,Joey), clock 13:54 recovered by UCHI Wigginton,Jack at UCHI24 Wigginton,Jack return 0 yards to the UCHI24, End Of Play.","Maddox Pratt field goal attempt from 36 BLOCKED, recovered by CMU TEAM, spot at CMU00 (blocked by Mitchell Stokey), touchback, clock 05:00.","Justin Caputo field goal attempt from 47 BLOCKED, recovered by MCD TEAM, spot at MCD00 (blocked by David Are), touchback, clock 11:07."
"field_goal_missed",3,"Caputo,Justin field goal attempt from 46 yards NO GOOD (H: Salters,Jackson, LS: Orlando,Joey), clock 00:00.","Justin Caputo field goal attempt from 43 MISSED - wide right, spot at UWL26.","Justin Caputo field goal attempt from 41 MISSED - hit right up right, spot at GC24."
"kneel",2,"Kneel down by Harvey,Bay at CMU26 for loss of 1 yard.","Kneel down by Machado,Tristan at UCB23 for loss of 2 yards.",
"punt_blocked",2,"Tan,Tad punt 0 yards to the UCHI34 blocked by McCullough,Nick, out of bounds at UCHI23.","Alley,Chase punt 0 yards to the JHU46 blocked by Bishop,Lucas recovered by CMU Cho,Sam at JHU34, End Of Play.",
