"game","field_goal_blocked","field_goal_good","field_goal_missed","pass_complete","pass_incomplete","pass_intercepted","punt_blocked","punt_no_return","punt_with_return","rush","sack","kneel"
1,1,2,1,39,19,1,1,8,5,62,2,0
2,1,1,1,44,22,3,0,8,1,55,5,0
3,0,2,0,27,24,1,0,12,0,68,3,0
4,3,0,0,31,26,2,0,7,6,63,7,0
5,0,2,0,48,22,2,1,0,2,52,3,1
6,0,3,1,48,40,1,0,3,1,60,1,0
7,0,1,0,49,38,1,0,7,4,56,5,0
8,0,0,0,47,20,1,0,2,1,86,3,0
9,0,2,0,42,27,4,0,9,3,59,5,0
10,0,2,0,47,24,1,0,7,0,57,3,1
11,0,2,0,29,32,2,0,5,0,72,5,0
